Restaurants,Cuisine_type,Rest_Price,Yelp_link
Vit Dong Que,Vietnamese,$$,https://bit.ly/2SKX9xi
The Cheesecake Factory,American,$$,https://bit.ly/2AbYira
Thai Elephant Express,Thai,$$,https://bit.ly/3cioI8T
Sushi Arashi,Japanese,$$,https://bit.ly/3bimsgk
Wingstop,American,$$,https://bit.ly/2SIqloz
Bluefin,Japanese,$$$,https://bit.ly/2Ac7R9z
The Breakfast Club,American,$$,https://bit.ly/2L9kYur
The Table,American,$$,https://bit.ly/35IV8Xp
Sweet Mango,Thai,$$,https://bit.ly/2xMBU6X
Rok Bistro,American,$$$,https://bit.ly/2WiSswR
SGD Tofu House,Korean,$$,https://bit.ly/2YMesS8
Tequila's Taqueria,Mexican,$$,https://bit.ly/3chGPeX
Q Pot Korean BBQ & Hot Pot,Korean,$$,https://bit.ly/2yvD1ID
Puesto,Mexican,$$,https://bit.ly/2SQtAdH
La Victoria Taqueria,Mexican,$,https://bit.ly/35GT7em
Five Guys,American,$,https://bit.ly/2AcSVIj
Morton's The Steakhouse,American,$$$,https://bit.ly/3cgvufp
The Grandview Restaurant,American,$$$,https://bit.ly/35Hz4fO
Bonchon,Korean,$$,https://bit.ly/2Lc1o0r
In-N-Out Burger,American,$,https://bit.ly/2L9723D
Mexico Bakery,Mexican,$,https://bit.ly/2YLwdkM
Jasmine Thai,Thai,$$,https://bit.ly/2LeJaLM
Kenzo Sushi,Japanese,$$,https://bit.ly/35JdeIO
Buffalo Wild Wings,American,$$,https://bit.ly/3bio6P2
SHIMOFURI Japanese BBQ Yakiniku Dining,Japanese,$$$,https://bit.ly/2LeNtqG
Gen Korean BBQ House,Korean,$$,https://bit.ly/2WIr7mw
Gyu-Kaku Japanese BBQ,Japanese,$$,https://bit.ly/2SIssZx
Cao Nguyen Restaurant,Vietnamese,$$,https://bit.ly/3chqnv7
Paesano Ristorante Italiano,Italian,$$,https://bit.ly/3bn92A1
Vit Dong Que,Vietnamese,$$,https://bit.ly/2yDaEbe
Vito's Trattoria,Italian,$$,https://bit.ly/2SNMge9
Thai Lovers,Thai,$$,https://bit.ly/2SL7eu8
Chick Fil A,American,$,https://bit.ly/2L9n9y7
Vons Chicken,Korean,$$,https://bit.ly/2yEsV8d
Thien Long Vietnamese Restaurant,Vietnamese,$$,https://bit.ly/2zhQYtz
Spartan Taco Truck,Mexican,$,https://bit.ly/2WgI2gZ
Mariscos Costa Alegre,Mexican,$$,https://bit.ly/3dukcEp
Milan Italiano,Italian,$$,https://bit.ly/2YGYPvs
SJ Omogari Korean Restaurant,Korean,$$,https://bit.ly/2SNwDTQ
Santa Fe Taqueria,Mexican,$,https://bit.ly/2xKx5Ld
Cha Cha Sushi,Japanese,$$,https://bit.ly/3bglbGD
The Pizza Press,Italian,$,https://bit.ly/35JnNM5
Danbi Korean Restaurant,Korean,$$,https://bit.ly/35N45zg
Banh Cuon Tay Ho,Vietnamese,$$,https://bit.ly/3fxpQaF
Mizu Sushi Bar & Grill,Japanese,$$,https://bit.ly/2YNsOC6
La Victoria Taqueria,Mexican,$,https://bit.ly/2yxkBXY
Banh Canh 3 Mien,Vietnamese,$$,https://bit.ly/35JiCvC
II Fornaio,Italian,$$,https://bit.ly/2Lb6qu2
Vung Tau Restaurant,Vietnamese,$$,https://bit.ly/3cfa16k
Giorgio's Italian Food & Pizzeria,Italian,$$,https://bit.ly/2SPU9j1
Bun Bo Hue An Nam,Vietnamese,$$,https://bit.ly/3fzEE8u
La Costa,Mexican,$,https://bit.ly/2WfOwNd
Siena Bistro,Italian,$$,https://bit.ly/3bbkb6I
Famous Lao Papaya Restaurant,Thai,$$,https://bit.ly/2SJYTXq
Ramen Nagi,Japanese,$$,https://bit.ly/2yvx6mU
Thaibodia,Thai,$$,https://bit.ly/2WgWCW4
HiroNori Craft Ramen,Japanese,$$,https://bit.ly/2Ac8v6Y
Golden Bamboo,Thai,$$,https://bit.ly/3fwy9mW
New Krung Thai Restaurant,Thai,$$,https://bit.ly/2WHc6Bl
Homeroom,American,$$,https://bit.ly/3fJBbVa
